AREA 12_2014,Crime Code,Frequency,Description
AREA 12,624,1463,BATTERY - SIMPLE ASSAULT
AREA 12,626,1182,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 12,230,1106,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 12,510,1058,VEHICLE - STOLEN
AREA 12,310,939,BURGLARY
AREA 12,210,892,ROBBERY
AREA 12,745,764,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 12,440,714,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 12,330,690,BURGLARY FROM VEHICLE
AREA 12,740,683,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
