AREA 4_2014,Crime Code,Frequency,Description
AREA 4,510,912,VEHICLE - STOLEN
AREA 4,624,648,BATTERY - SIMPLE ASSAULT
AREA 4,440,505,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 4,626,458,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 4,230,379,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 4,740,379,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 4,354,358,THEFT OF IDENTITY
AREA 4,310,348,BURGLARY
AREA 4,745,329,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 4,420,319,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
