AREA 8_2017,Crime Code,Frequency,Description
AREA 8,310,706,BURGLARY
AREA 8,330,569,BURGLARY FROM VEHICLE
AREA 8,440,483,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 8,624,385,BATTERY - SIMPLE ASSAULT
AREA 8,354,358,THEFT OF IDENTITY
AREA 8,510,332,VEHICLE - STOLEN
AREA 8,420,302,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 8,740,289,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 8,341,283,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 8,626,193,INTIMATE PARTNER - SIMPLE ASSAULT
