AREA 6_2017,Crime Code,Frequency,Description
AREA 6,330,950,BURGLARY FROM VEHICLE
AREA 6,624,768,BATTERY - SIMPLE ASSAULT
AREA 6,440,548,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 6,740,464,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 6,510,391,VEHICLE - STOLEN
AREA 6,626,342,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 6,230,327,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 6,354,310,THEFT OF IDENTITY
AREA 6,341,299,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 6,210,294,ROBBERY
