AREA 5_2010,Crime Code,Frequency,Description
AREA 5,510,1043,VEHICLE - STOLEN
AREA 5,310,820,BURGLARY
AREA 5,624,689,BATTERY - SIMPLE ASSAULT
AREA 5,626,684,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 5,330,630,BURGLARY FROM VEHICLE
AREA 5,354,598,THEFT OF IDENTITY
AREA 5,740,576,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 5,440,574,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 5,745,495,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 5,341,454,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
