AREA 11_2012,Crime Code,Frequency,Description
AREA 11,510,1001,VEHICLE - STOLEN
AREA 11,330,813,BURGLARY FROM VEHICLE
AREA 11,354,765,THEFT OF IDENTITY
AREA 11,624,713,BATTERY - SIMPLE ASSAULT
AREA 11,440,693,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 11,310,637,BURGLARY
AREA 11,626,593,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 11,740,544,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 11,745,511,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 11,420,490,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
