AREA 10_2011,Crime Code,Frequency,Description
AREA 10,310,904,BURGLARY
AREA 10,354,853,THEFT OF IDENTITY
AREA 10,330,754,BURGLARY FROM VEHICLE
AREA 10,440,641,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 10,624,605,BATTERY - SIMPLE ASSAULT
AREA 10,510,508,VEHICLE - STOLEN
AREA 10,740,494,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 10,626,485,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 10,745,369,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 10,341,360,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
