AREA 7_2015,Crime Code,Frequency,Description
AREA 7,310,771,BURGLARY
AREA 7,354,684,THEFT OF IDENTITY
AREA 7,330,638,BURGLARY FROM VEHICLE
AREA 7,440,636,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 7,624,621,BATTERY - SIMPLE ASSAULT
AREA 7,740,426,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 7,510,417,VEHICLE - STOLEN
AREA 7,341,358,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 7,626,348,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 7,442,336,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
