AREA 11_2017,Crime Code,Frequency,Description
AREA 11,330,747,BURGLARY FROM VEHICLE
AREA 11,510,705,VEHICLE - STOLEN
AREA 11,624,462,BATTERY - SIMPLE ASSAULT
AREA 11,310,446,BURGLARY
AREA 11,740,433,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 11,440,408,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 11,420,353,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 11,626,338,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 11,354,310,THEFT OF IDENTITY
AREA 11,230,288,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
