AREA 6_2013,Crime Code,Frequency,Description
AREA 6,624,975,BATTERY - SIMPLE ASSAULT
AREA 6,440,940,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 6,330,720,BURGLARY FROM VEHICLE
AREA 6,354,634,THEFT OF IDENTITY
AREA 6,341,520,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 6,626,419,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 6,740,416,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 6,510,412,VEHICLE - STOLEN
AREA 6,745,403,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 6,310,351,BURGLARY
