AREA 8_2010,Crime Code,Frequency,Description
AREA 8,330,925,BURGLARY FROM VEHICLE
AREA 8,341,866,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 8,354,721,THEFT OF IDENTITY
AREA 8,624,666,BATTERY - SIMPLE ASSAULT
AREA 8,310,634,BURGLARY
AREA 8,440,491,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 8,745,445,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 8,510,388,VEHICLE - STOLEN
AREA 8,420,339,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 8,740,332,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
