AREA 4_2017,Crime Code,Frequency,Description
AREA 4,510,844,VEHICLE - STOLEN
AREA 4,624,615,BATTERY - SIMPLE ASSAULT
AREA 4,740,384,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 4,626,371,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 4,230,363,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 4,440,326,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 4,745,318,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 4,330,310,BURGLARY FROM VEHICLE
AREA 4,420,260,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 4,310,259,BURGLARY
