AREA 10_2017,Crime Code,Frequency,Description
AREA 10,354,614,THEFT OF IDENTITY
AREA 10,310,602,BURGLARY
AREA 10,330,523,BURGLARY FROM VEHICLE
AREA 10,510,493,VEHICLE - STOLEN
AREA 10,624,443,BATTERY - SIMPLE ASSAULT
AREA 10,420,361,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 10,740,344,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 10,440,337,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 10,626,306,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 10,745,201,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
