AREA 5_2017,Crime Code,Frequency,Description
AREA 5,510,657,VEHICLE - STOLEN
AREA 5,624,569,BATTERY - SIMPLE ASSAULT
AREA 5,310,524,BURGLARY
AREA 5,740,460,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 5,626,413,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 5,230,360,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 5,330,355,BURGLARY FROM VEHICLE
AREA 5,420,350,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 5,745,316,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 5,440,315,THEFT PLAIN - PETTY ($950 & UNDER)
