AREA 10_2012,Crime Code,Frequency,Description
AREA 10,310,882,BURGLARY
AREA 10,354,872,THEFT OF IDENTITY
AREA 10,330,779,BURGLARY FROM VEHICLE
AREA 10,440,686,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 10,624,605,BATTERY - SIMPLE ASSAULT
AREA 10,740,560,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 10,626,501,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 10,510,490,VEHICLE - STOLEN
AREA 10,745,380,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 10,341,367,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
