AREA 11_2015,Crime Code,Frequency,Description
AREA 11,510,855,VEHICLE - STOLEN
AREA 11,310,780,BURGLARY
AREA 11,354,773,THEFT OF IDENTITY
AREA 11,624,709,BATTERY - SIMPLE ASSAULT
AREA 11,330,701,BURGLARY FROM VEHICLE
AREA 11,740,675,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 11,440,647,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 11,420,596,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 11,745,495,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 11,626,461,INTIMATE PARTNER - SIMPLE ASSAULT
