AREA 1_2017,Crime Code,Frequency,Description
AREA 1,624,1113,BATTERY - SIMPLE ASSAULT
AREA 1,440,827,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 1,330,629,BURGLARY FROM VEHICLE
AREA 1,230,559,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 1,210,447,ROBBERY
AREA 1,740,445,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 1,626,334,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 1,341,331,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 1,442,264,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
AREA 1,510,261,VEHICLE - STOLEN
