AREA 7_2014,Crime Code,Frequency,Description
AREA 7,310,783,BURGLARY
AREA 7,624,689,BATTERY - SIMPLE ASSAULT
AREA 7,330,640,BURGLARY FROM VEHICLE
AREA 7,354,598,THEFT OF IDENTITY
AREA 7,440,596,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 7,510,416,VEHICLE - STOLEN
AREA 7,740,366,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 7,745,337,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 7,341,333,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 7,420,295,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
