AREA 6_2014,Crime Code,Frequency,Description
AREA 6,624,983,BATTERY - SIMPLE ASSAULT
AREA 6,440,924,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 6,330,701,BURGLARY FROM VEHICLE
AREA 6,354,512,THEFT OF IDENTITY
AREA 6,310,484,BURGLARY
AREA 6,510,429,VEHICLE - STOLEN
AREA 6,341,426,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 6,740,426,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 6,745,417,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 6,626,416,INTIMATE PARTNER - SIMPLE ASSAULT
