AREA 12_2017,Crime Code,Frequency,Description
AREA 12,510,1079,VEHICLE - STOLEN
AREA 12,230,958,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 12,624,870,BATTERY - SIMPLE ASSAULT
AREA 12,210,821,ROBBERY
AREA 12,626,809,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 12,310,609,BURGLARY
AREA 12,745,501,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 12,740,481,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 12,330,468,BURGLARY FROM VEHICLE
AREA 12,440,383,THEFT PLAIN - PETTY ($950 & UNDER)
