AREA 1_2014,Crime Code,Frequency,Description
AREA 1,624,1388,BATTERY - SIMPLE ASSAULT
AREA 1,440,988,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 1,330,489,BURGLARY FROM VEHICLE
AREA 1,230,418,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 1,626,417,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 1,210,414,ROBBERY
AREA 1,745,412,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 1,341,386,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 1,740,298,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 1,930,274,CRIMINAL THREATS - NO WEAPON DISPLAYED
