AREA 11_2010,Crime Code,Frequency,Description
AREA 11,330,1026,BURGLARY FROM VEHICLE
AREA 11,624,918,BATTERY - SIMPLE ASSAULT
AREA 11,510,901,VEHICLE - STOLEN
AREA 11,354,784,THEFT OF IDENTITY
AREA 11,310,729,BURGLARY
AREA 11,740,608,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 11,626,599,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 11,745,550,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 11,440,490,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 11,341,475,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
