AREA 5_2014,Crime Code,Frequency,Description
AREA 5,510,808,VEHICLE - STOLEN
AREA 5,440,802,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 5,310,685,BURGLARY
AREA 5,624,638,BATTERY - SIMPLE ASSAULT
AREA 5,626,540,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 5,740,485,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 5,420,466,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 5,354,460,THEFT OF IDENTITY
AREA 5,330,439,BURGLARY FROM VEHICLE
AREA 5,745,402,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
