AREA 2_2015,Crime Code,Frequency,Description
AREA 2,740,511,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 2,626,657,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 2,624,958,BATTERY - SIMPLE ASSAULT
AREA 2,510,650,VEHICLE - STOLEN
AREA 2,440,580,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 2,420,414,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 2,330,679,BURGLARY FROM VEHICLE
AREA 2,310,431,BURGLARY
AREA 2,230,599,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 2,210,565,ROBBERY
