AREA 9_2017,Crime Code,Frequency,Description
AREA 9,330,627,BURGLARY FROM VEHICLE
AREA 9,310,513,BURGLARY
AREA 9,624,511,BATTERY - SIMPLE ASSAULT
AREA 9,354,495,THEFT OF IDENTITY
AREA 9,510,482,VEHICLE - STOLEN
AREA 9,420,388,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 9,440,380,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 9,740,372,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 9,626,366,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 9,442,340,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
