AREA 7_2012,Crime Code,Frequency,Description
AREA 7,310,856,BURGLARY
AREA 7,624,792,BATTERY - SIMPLE ASSAULT
AREA 7,330,682,BURGLARY FROM VEHICLE
AREA 7,354,614,THEFT OF IDENTITY
AREA 7,440,543,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 7,510,401,VEHICLE - STOLEN
AREA 7,740,345,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 7,442,335,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
AREA 7,341,330,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 7,745,325,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
