AREA 10_2015,Crime Code,Frequency,Description
AREA 10,310,928,BURGLARY
AREA 10,354,871,THEFT OF IDENTITY
AREA 10,330,580,BURGLARY FROM VEHICLE
AREA 10,510,555,VEHICLE - STOLEN
AREA 10,440,526,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 10,624,520,BATTERY - SIMPLE ASSAULT
AREA 10,740,500,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 10,626,477,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 10,420,464,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 10,341,313,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
