AREA 6_2015,Crime Code,Frequency,Description
AREA 6,624,1001,BATTERY - SIMPLE ASSAULT
AREA 6,440,914,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 6,330,822,BURGLARY FROM VEHICLE
AREA 6,354,607,THEFT OF IDENTITY
AREA 6,740,565,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 6,510,549,VEHICLE - STOLEN
AREA 6,310,504,BURGLARY
AREA 6,230,445,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 6,341,442,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 6,745,408,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
