AREA 8_2014,Crime Code,Frequency,Description
AREA 8,440,869,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 8,310,839,BURGLARY
AREA 8,330,771,BURGLARY FROM VEHICLE
AREA 8,354,766,THEFT OF IDENTITY
AREA 8,624,694,BATTERY - SIMPLE ASSAULT
AREA 8,341,523,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 8,740,405,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 8,510,375,VEHICLE - STOLEN
AREA 8,420,356,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 8,745,334,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
