AREA 12_2015,Crime Code,Frequency,Description
AREA 12,510,1389,VEHICLE - STOLEN
AREA 12,626,1356,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 12,230,1266,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 12,624,1235,BATTERY - SIMPLE ASSAULT
AREA 12,210,927,ROBBERY
AREA 12,310,851,BURGLARY
AREA 12,745,730,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 12,354,686,THEFT OF IDENTITY
AREA 12,440,674,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 12,740,668,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
