AREA 2_2016,Crime Code,Frequency,Description
AREA 2,624,919,BATTERY - SIMPLE ASSAULT
AREA 2,330,646,BURGLARY FROM VEHICLE
AREA 2,510,630,VEHICLE - STOLEN
AREA 2,626,626,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 2,230,568,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 2,210,564,ROBBERY
AREA 2,740,545,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 2,440,543,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 2,420,446,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 2,745,398,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
