AREA 2_2017,Crime Code,Frequency,Description
AREA 2,624,701,BATTERY - SIMPLE ASSAULT
AREA 2,330,566,BURGLARY FROM VEHICLE
AREA 2,510,440,VEHICLE - STOLEN
AREA 2,626,423,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 2,210,415,ROBBERY
AREA 2,740,407,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 2,230,381,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 2,440,348,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 2,420,286,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 2,745,265,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
