AREA 12_2016,Crime Code,Frequency,Description
AREA 12,510,1622,VEHICLE - STOLEN
AREA 12,230,1387,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 12,624,1223,BATTERY - SIMPLE ASSAULT
AREA 12,626,1192,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 12,210,1124,ROBBERY
AREA 12,740,811,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 12,330,763,BURGLARY FROM VEHICLE
AREA 12,745,711,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 12,310,704,BURGLARY
AREA 12,420,635,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
