AREA 10_2013,Crime Code,Frequency,Description
AREA 10,354,829,THEFT OF IDENTITY
AREA 10,310,817,BURGLARY
AREA 10,330,718,BURGLARY FROM VEHICLE
AREA 10,440,694,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 10,624,590,BATTERY - SIMPLE ASSAULT
AREA 10,740,478,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 10,510,470,VEHICLE - STOLEN
AREA 10,626,426,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 10,745,322,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 10,341,320,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
