AREA 1_2013,Crime Code,Frequency,Description
AREA 1,624,1262,BATTERY - SIMPLE ASSAULT
AREA 1,440,908,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 1,330,555,BURGLARY FROM VEHICLE
AREA 1,745,404,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 1,210,374,ROBBERY
AREA 1,341,323,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 1,230,323,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 1,626,322,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 1,510,259,VEHICLE - STOLEN
AREA 1,930,239,CRIMINAL THREATS - NO WEAPON DISPLAYED
