AREA 9_2010,Crime Code,Frequency,Description
AREA 9,330,1142,BURGLARY FROM VEHICLE
AREA 9,354,822,THEFT OF IDENTITY
AREA 9,626,716,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 9,310,708,BURGLARY
AREA 9,624,690,BATTERY - SIMPLE ASSAULT
AREA 9,510,680,VEHICLE - STOLEN
AREA 9,440,632,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 9,740,579,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 9,341,566,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 9,745,439,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
