AREA 11_2014,Crime Code,Frequency,Description
AREA 11,330,772,BURGLARY FROM VEHICLE
AREA 11,510,764,VEHICLE - STOLEN
AREA 11,624,725,BATTERY - SIMPLE ASSAULT
AREA 11,310,669,BURGLARY
AREA 11,354,615,THEFT OF IDENTITY
AREA 11,440,615,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 11,740,577,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 11,745,543,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 11,626,500,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 11,420,497,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
