AREA 11_2013,Crime Code,Frequency,Description
AREA 11,510,793,VEHICLE - STOLEN
AREA 11,330,756,BURGLARY FROM VEHICLE
AREA 11,354,735,THEFT OF IDENTITY
AREA 11,440,732,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 11,310,682,BURGLARY
AREA 11,624,669,BATTERY - SIMPLE ASSAULT
AREA 11,740,544,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 11,626,517,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 11,420,482,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 11,745,479,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
