AREA 11_2011,Crime Code,Frequency,Description
AREA 11,510,923,VEHICLE - STOLEN
AREA 11,354,864,THEFT OF IDENTITY
AREA 11,330,815,BURGLARY FROM VEHICLE
AREA 11,624,790,BATTERY - SIMPLE ASSAULT
AREA 11,310,679,BURGLARY
AREA 11,440,655,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 11,745,572,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 11,626,558,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 11,740,504,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 11,420,461,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
