AREA 9_2011,Crime Code,Frequency,Description
AREA 9,330,897,BURGLARY FROM VEHICLE
AREA 9,440,821,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 9,354,812,THEFT OF IDENTITY
AREA 9,624,700,BATTERY - SIMPLE ASSAULT
AREA 9,626,665,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 9,740,597,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 9,310,587,BURGLARY
AREA 9,510,570,VEHICLE - STOLEN
AREA 9,745,433,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 9,341,363,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
