AREA 9_2014,Crime Code,Frequency,Description
AREA 9,440,937,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 9,354,815,THEFT OF IDENTITY
AREA 9,624,756,BATTERY - SIMPLE ASSAULT
AREA 9,330,731,BURGLARY FROM VEHICLE
AREA 9,626,650,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 9,310,573,BURGLARY
AREA 9,740,561,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 9,510,500,VEHICLE - STOLEN
AREA 9,420,440,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 9,745,348,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
