AREA 9_2015,Crime Code,Frequency,Description
AREA 9,354,1006,THEFT OF IDENTITY
AREA 9,440,912,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 9,624,806,BATTERY - SIMPLE ASSAULT
AREA 9,510,714,VEHICLE - STOLEN
AREA 9,330,708,BURGLARY FROM VEHICLE
AREA 9,310,694,BURGLARY
AREA 9,740,643,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 9,626,639,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 9,420,503,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 9,341,362,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
