AREA 5_2013,Crime Code,Frequency,Description
AREA 5,510,856,VEHICLE - STOLEN
AREA 5,440,792,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 5,310,688,BURGLARY
AREA 5,626,600,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 5,354,586,THEFT OF IDENTITY
AREA 5,624,575,BATTERY - SIMPLE ASSAULT
AREA 5,330,542,BURGLARY FROM VEHICLE
AREA 5,420,501,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 5,740,463,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 5,745,462,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
