AREA 6_2012,Crime Code,Frequency,Description
AREA 6,624,1021,BATTERY - SIMPLE ASSAULT
AREA 6,440,966,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 6,330,921,BURGLARY FROM VEHICLE
AREA 6,354,682,THEFT OF IDENTITY
AREA 6,341,504,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 6,626,480,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 6,740,464,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 6,745,437,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 6,210,434,ROBBERY
AREA 6,310,403,BURGLARY
