AREA 1_2010,Crime Code,Frequency,Description
AREA 1,624,1193,BATTERY - SIMPLE ASSAULT
AREA 1,440,665,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 1,341,549,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 1,330,532,BURGLARY FROM VEHICLE
AREA 1,210,373,ROBBERY
AREA 1,745,356,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 1,230,356,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 1,946,326,OTHER MISCELLANEOUS CRIME
AREA 1,510,323,VEHICLE - STOLEN
AREA 1,930,275,CRIMINAL THREATS - NO WEAPON DISPLAYED
