AREA 9_2016,Crime Code,Frequency,Description
AREA 9,330,898,BURGLARY FROM VEHICLE
AREA 9,354,894,THEFT OF IDENTITY
AREA 9,624,772,BATTERY - SIMPLE ASSAULT
AREA 9,440,767,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 9,310,670,BURGLARY
AREA 9,510,643,VEHICLE - STOLEN
AREA 9,740,573,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 9,626,553,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 9,420,504,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 9,442,431,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
