AREA 4_2015,Crime Code,Frequency,Description
AREA 4,510,985,VEHICLE - STOLEN
AREA 4,624,769,BATTERY - SIMPLE ASSAULT
AREA 4,626,578,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 4,420,478,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 4,230,477,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 4,740,467,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 4,440,467,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 4,330,447,BURGLARY FROM VEHICLE
AREA 4,354,410,THEFT OF IDENTITY
AREA 4,745,374,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
