AREA 3_2013,Crime Code,Frequency,Description
AREA 3,440,1628,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 3,624,1621,BATTERY - SIMPLE ASSAULT
AREA 3,310,853,BURGLARY
AREA 3,510,821,VEHICLE - STOLEN
AREA 3,330,799,BURGLARY FROM VEHICLE
AREA 3,354,781,THEFT OF IDENTITY
AREA 3,210,648,ROBBERY
AREA 3,745,620,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 3,230,612,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 3,740,529,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
