AREA 5_2012,Crime Code,Frequency,Description
AREA 5,510,1095,VEHICLE - STOLEN
AREA 5,440,814,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 5,624,744,BATTERY - SIMPLE ASSAULT
AREA 5,310,721,BURGLARY
AREA 5,626,661,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 5,330,643,BURGLARY FROM VEHICLE
AREA 5,354,543,THEFT OF IDENTITY
AREA 5,745,482,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 5,420,471,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 5,740,454,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
