AREA 7_2013,Crime Code,Frequency,Description
AREA 7,310,798,BURGLARY
AREA 7,624,742,BATTERY - SIMPLE ASSAULT
AREA 7,330,664,BURGLARY FROM VEHICLE
AREA 7,354,603,THEFT OF IDENTITY
AREA 7,440,574,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 7,510,451,VEHICLE - STOLEN
AREA 7,420,323,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 7,745,320,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 7,341,306,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 7,740,294,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
