AREA 11_2016,Crime Code,Frequency,Description
AREA 11,510,1057,VEHICLE - STOLEN
AREA 11,330,989,BURGLARY FROM VEHICLE
AREA 11,310,738,BURGLARY
AREA 11,440,650,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 11,624,649,BATTERY - SIMPLE ASSAULT
AREA 11,740,621,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 11,420,587,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 11,354,581,THEFT OF IDENTITY
AREA 11,230,445,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 11,626,419,INTIMATE PARTNER - SIMPLE ASSAULT
