AREA 10_2010,Crime Code,Frequency,Description
AREA 10,310,974,BURGLARY
AREA 10,330,847,BURGLARY FROM VEHICLE
AREA 10,354,762,THEFT OF IDENTITY
AREA 10,624,655,BATTERY - SIMPLE ASSAULT
AREA 10,510,555,VEHICLE - STOLEN
AREA 10,626,552,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 10,341,529,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 10,740,468,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 10,440,432,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 10,745,404,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
