AREA 5_2011,Crime Code,Frequency,Description
AREA 5,510,1002,VEHICLE - STOLEN
AREA 5,330,799,BURGLARY FROM VEHICLE
AREA 5,624,779,BATTERY - SIMPLE ASSAULT
AREA 5,310,760,BURGLARY
AREA 5,626,753,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 5,440,700,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 5,745,582,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 5,354,526,THEFT OF IDENTITY
AREA 5,740,524,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 5,420,418,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
