AREA 1_2012,Crime Code,Frequency,Description
AREA 1,624,1247,BATTERY - SIMPLE ASSAULT
AREA 1,440,946,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 1,330,589,BURGLARY FROM VEHICLE
AREA 1,210,466,ROBBERY
AREA 1,745,415,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 1,341,385,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 1,230,373,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 1,510,325,VEHICLE - STOLEN
AREA 1,626,312,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 1,930,256,CRIMINAL THREATS - NO WEAPON DISPLAYED
