AREA 10_2014,Crime Code,Frequency,Description
AREA 10,310,796,BURGLARY
AREA 10,354,760,THEFT OF IDENTITY
AREA 10,440,547,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 10,330,528,BURGLARY FROM VEHICLE
AREA 10,624,514,BATTERY - SIMPLE ASSAULT
AREA 10,510,501,VEHICLE - STOLEN
AREA 10,626,459,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 10,740,422,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 10,420,338,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 10,341,304,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
