AREA 10_2016,Crime Code,Frequency,Description
AREA 10,310,1032,BURGLARY
AREA 10,354,841,THEFT OF IDENTITY
AREA 10,330,814,BURGLARY FROM VEHICLE
AREA 10,510,647,VEHICLE - STOLEN
AREA 10,624,591,BATTERY - SIMPLE ASSAULT
AREA 10,420,579,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 10,440,548,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 10,740,546,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 10,626,443,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 10,745,300,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
