AREA 8_2016,Crime Code,Frequency,Description
AREA 8,310,912,BURGLARY
AREA 8,330,852,BURGLARY FROM VEHICLE
AREA 8,354,852,THEFT OF IDENTITY
AREA 8,440,808,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 8,624,648,BATTERY - SIMPLE ASSAULT
AREA 8,341,510,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 8,740,508,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 8,420,488,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 8,510,465,VEHICLE - STOLEN
AREA 8,745,274,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
