AREA 8_2011,Crime Code,Frequency,Description
AREA 8,330,1048,BURGLARY FROM VEHICLE
AREA 8,310,968,BURGLARY
AREA 8,440,883,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 8,354,764,THEFT OF IDENTITY
AREA 8,341,567,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 8,624,532,BATTERY - SIMPLE ASSAULT
AREA 8,745,530,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 8,510,403,VEHICLE - STOLEN
AREA 8,420,394,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 8,626,233,INTIMATE PARTNER - SIMPLE ASSAULT
