AREA 8_2012,Crime Code,Frequency,Description
AREA 8,354,928,THEFT OF IDENTITY
AREA 8,310,889,BURGLARY
AREA 8,330,879,BURGLARY FROM VEHICLE
AREA 8,440,855,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 8,624,642,BATTERY - SIMPLE ASSAULT
AREA 8,341,533,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 8,745,504,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 8,420,426,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 8,510,337,VEHICLE - STOLEN
AREA 8,740,297,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
