AREA 4_2011,Crime Code,Frequency,Description
AREA 4,624,804,BATTERY - SIMPLE ASSAULT
AREA 4,510,678,VEHICLE - STOLEN
AREA 4,440,468,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 4,330,383,BURGLARY FROM VEHICLE
AREA 4,354,375,THEFT OF IDENTITY
AREA 4,230,369,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 4,740,360,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 4,310,340,BURGLARY
AREA 4,745,331,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 4,626,310,INTIMATE PARTNER - SIMPLE ASSAULT
