AREA 4_2016,Crime Code,Frequency,Description
AREA 4,510,1171,VEHICLE - STOLEN
AREA 4,624,893,BATTERY - SIMPLE ASSAULT
AREA 4,330,679,BURGLARY FROM VEHICLE
AREA 4,230,622,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 4,626,604,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 4,740,536,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 4,440,479,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 4,420,474,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 4,745,468,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 4,310,343,BURGLARY
