AREA 9_2013,Crime Code,Frequency,Description
AREA 9,330,990,BURGLARY FROM VEHICLE
AREA 9,440,939,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 9,354,901,THEFT OF IDENTITY
AREA 9,624,712,BATTERY - SIMPLE ASSAULT
AREA 9,310,607,BURGLARY
AREA 9,626,594,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 9,510,547,VEHICLE - STOLEN
AREA 9,740,479,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 9,420,407,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 9,745,368,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
