AREA 1_2015,Crime Code,Frequency,Description
AREA 1,624,1422,BATTERY - SIMPLE ASSAULT
AREA 1,440,1149,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 1,230,740,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 1,330,612,BURGLARY FROM VEHICLE
AREA 1,210,600,ROBBERY
AREA 1,740,474,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 1,442,444,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
AREA 1,626,430,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 1,510,419,VEHICLE - STOLEN
AREA 1,341,398,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
