AREA 2_2011,Crime Code,Frequency,Description
AREA 2,624,862,BATTERY - SIMPLE ASSAULT
AREA 2,626,827,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 2,510,663,VEHICLE - STOLEN
AREA 2,210,611,ROBBERY
AREA 2,230,464,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 2,330,458,BURGLARY FROM VEHICLE
AREA 2,440,457,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 2,354,445,THEFT OF IDENTITY
AREA 2,745,402,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
AREA 2,740,340,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
